Scenario,MeanIncrease,MeanDecrease,MeanNotSignificant,Q25,Median,Q75
126,0.645189003436426,0.289518900343643,0.0652920962199313,-0.0556601003614166,0.125082499675108,0.413739039955053
370,0.642182130584192,0.294243986254296,0.063573883161512,-0.100554944358896,0.251774499827445,0.759098899289728
585,0.639604810996564,0.301546391752577,0.0588487972508591,-0.11880218246565,0.296647688904355,0.87593141623825
