Scenario,Variable,p,logl,logl0,lambda
126,log2fc,2.33333769725043e-257,-1800.79095372828,-2387.94716274807,0.881190856286884
126,r2,6.59486379482408e-107,1281.95937681949,1040.78624803373,0.775330298956169
370,log2fc,2.33333769725043e-257,-1800.79095372828,-2387.94716274807,0.881190856286884
370,r2,6.59486379482408e-107,1281.95937681949,1040.78624803373,0.775330298956169
585,log2fc,2.33333769725043e-257,-1800.79095372828,-2387.94716274807,0.881190856286884
585,r2,6.59486379482408e-107,1281.95937681949,1040.78624803373,0.775330298956169
