r2,MAG,mean_rel_ab,scenario,median_present,q25_present,q75_present,median_future,q25_future,q75_future,median_change,q25_change,q75_change,median_rel_change,q25_rel_change,q75_rel_change,wilcox_p,wilcox_stat,log2fc,Category,Taxonomy
0.332996337207917,336R_concoct_107,0.000105807045442491,126,9.83140434728888,4.22230623099706,36.8864285590265,9.56131739426175,4.21811729183461,31.3872710706552,-0.295441582608543,-2.66377192191804,0.00569905826957429,-0.0310586765610391,-2.66377192191804,0.00569905826957429,2.19344607290088e-13,1680,-0.0401880983241432,Decrease,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__BOG-234;s__
0.326438144845955,336R_concoct_107,0.000105807045442491,370,9.8479991557145,4.17946723505629,37.3761699390539,10.1807900086552,4.43599221610376,28.2680621347114,-0.121145323371633,-4.59649172425687,0.320553698036504,-0.0172684403261896,-4.59649172425687,0.320553698036504,4.4614689966585e-05,3380,0.0479469727160282,Decrease,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__BOG-234;s__
0.32926838794972,336R_concoct_107,0.000105807045442491,585,9.84150208282964,4.16196461380049,37.5279049570962,10.5020398414824,4.95255190692014,28.0399338579238,0.0253003256917793,-3.39359394506105,0.542227929595954,0.00626553675958864,-3.39359394506105,0.542227929595954,0.0184021894893993,4281,0.0937191416575907,Increase,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__BOG-234;s__
0.411955144673174,336R_concoct_171_sub,2.11614822548437e-05,126,17.7628467178551,12.1119970994915,22.2227158389422,20.8615769856872,14.2587764108939,26.2801157205426,2.77463116369597,2.05142492275737,3.54060041448409,0.17998798051684,2.05142492275737,3.54060041448409,4.95060932943602e-26,11026,0.231985409282602,Increase,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SHXO01;g__;s__
0.39756724264824,336R_concoct_171_sub,2.11614822548437e-05,370,17.7791840974057,12.1306485809387,22.1782802219381,24.2546690332893,17.3269610775485,30.6709972832414,6.46503695375939,4.73153615510816,9.42013059613354,0.464399087165232,4.73153615510816,9.42013059613354,5.7091546462554e-26,11019,0.448073374267875,Increase,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SHXO01;g__;s__
0.413771028398497,336R_concoct_171_sub,2.11614822548437e-05,585,17.7614006080433,12.1108397108936,22.2198293870819,26.1256181784403,18.6634724581216,32.9268653439618,8.07087122740651,5.82515709663265,11.9547301995507,0.551512962373215,5.82515709663265,11.9547301995507,9.10869977040259e-26,10996,0.556719821764174,Increase,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SHXO01;g__;s__
0.0823424116994455,336R_concoct_189_sub,1.59005938337427e-05,126,1.70771891167182,0.985572099869578,3.38252324265552,2.06328386302218,1.22658974425787,4.2825975266861,0.407436947982588,0.258405080375877,0.819763399671433,0.257583202233953,0.258405080375877,0.819763399671433,4.95060932943602e-26,11026,0.272871789607134,Increase,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-610;g__F1-120-MAGs023;s__
0.0823243115008185,336R_concoct_189_sub,1.59005938337427e-05,370,1.70188873202157,0.985640717010693,3.38058576092289,2.67937487939036,1.55065333564785,5.22817657656305,0.940596087563558,0.532487476645783,1.71293022612006,0.643618805552166,0.532487476645783,1.71293022612006,1.25921889814616e-25,10980,0.654759729117942,Increase,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-610;g__F1-120-MAGs023;s__
0.0823323004458503,336R_concoct_189_sub,1.59005938337427e-05,585,1.70573071981505,0.985302242800083,3.38320226848787,2.95030804395471,1.70893232377491,5.47822567333998,1.09243020784683,0.643444702139389,2.09332734346977,0.771577530822549,0.643444702139389,2.09332734346977,8.12089144065619e-25,10887,0.790475685902572,Increase,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-610;g__F1-120-MAGs023;s__
0.276353616785958,336R_concoct_227_sub,5.8631560897946e-05,126,43.3091114683837,33.4445414337574,72.8765325492697,45.0046246190486,34.0153911847689,75.110927603996,0.70823780875933,0.171318727739392,1.64966526384766,0.0157473100799682,0.171318727739392,1.64966526384766,1.27950776891386e-05,7793,0.0554026842865207,Increase,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAIPHQ01;s__
0.27557314130975,336R_concoct_227_sub,5.8631560897946e-05,370,43.3163363333872,33.3332417953571,72.7618705450285,48.1137765800548,36.3140597872077,73.7751168587794,2.07931452052093,0.797913683305115,4.79715788074502,0.0594536965996406,0.797913683305115,4.79715788074502,3.21686438683344e-06,7946,0.151538818959069,Increase,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAIPHQ01;s__
0.275240601617616,336R_concoct_227_sub,5.8631560897946e-05,585,43.2866922849663,33.3141181330821,72.8978565768821,49.4156412303188,37.314155845033,74.0029725594261,3.02355416222509,1.33836786483751,5.96487247253489,0.0840605310155037,1.33836786483751,5.96487247253489,8.54247347421562e-07,8085,0.191044199049694,Increase,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAIPHQ01;s__
