vars_selection_tab,Freq,r2,MAG,mean_rel_ab,scenario,median_present,q25_present,q75_present,median_future,q25_future,q75_future,median_change,q25_change,q75_change,median_rel_change,q25_rel_change,q75_rel_change,wilcox_p,wilcox_stat
abs_latitude,1,0.318737630840952,336R_concoct_107,0.000105807045442491,126,9.39982777666253,3.86114212375249,34.1896163394159,8.99253897958992,3.6795274586932,29.5014581403733,-0.43730081225408,-3.96414661575512,0.00490348413724795,-0.048335025048753,-3.96414661575512,0.00490348413724795,3.24057614638084e-121,162973
clim_tasmax,0.1,0.318737630840952,336R_concoct_107,0.000105807045442491,126,9.39982777666253,3.86114212375249,34.1896163394159,8.99253897958992,3.6795274586932,29.5014581403733,-0.43730081225408,-3.96414661575512,0.00490348413724795,-0.048335025048753,-3.96414661575512,0.00490348413724795,3.24057614638084e-121,162973
pc_conductivity_predicted,1,0.318737630840952,336R_concoct_107,0.000105807045442491,126,9.39982777666253,3.86114212375249,34.1896163394159,8.99253897958992,3.6795274586932,29.5014581403733,-0.43730081225408,-3.96414661575512,0.00490348413724795,-0.048335025048753,-3.96414661575512,0.00490348413724795,3.24057614638084e-121,162973
pc_ph_predicted,0.9,0.318737630840952,336R_concoct_107,0.000105807045442491,126,9.39982777666253,3.86114212375249,34.1896163394159,8.99253897958992,3.6795274586932,29.5014581403733,-0.43730081225408,-3.96414661575512,0.00490348413724795,-0.048335025048753,-3.96414661575512,0.00490348413724795,3.24057614638084e-121,162973
abs_latitude,1,0.318660017871763,336R_concoct_107,0.000105807045442491,370,9.39921393925062,3.85912059735996,34.1176725266781,9.49056449384389,3.79158930364491,27.9853841147237,-0.596625123286755,-7.68241811522613,0.202127065921328,-0.0698947489517971,-7.68241811522613,0.202127065921328,2.56713315993064e-72,252219
clim_tasmax,0.1,0.318660017871763,336R_concoct_107,0.000105807045442491,370,9.39921393925062,3.85912059735996,34.1176725266781,9.49056449384389,3.79158930364491,27.9853841147237,-0.596625123286755,-7.68241811522613,0.202127065921328,-0.0698947489517971,-7.68241811522613,0.202127065921328,2.56713315993064e-72,252219
pc_conductivity_predicted,1,0.318660017871763,336R_concoct_107,0.000105807045442491,370,9.39921393925062,3.85912059735996,34.1176725266781,9.49056449384389,3.79158930364491,27.9853841147237,-0.596625123286755,-7.68241811522613,0.202127065921328,-0.0698947489517971,-7.68241811522613,0.202127065921328,2.56713315993064e-72,252219
pc_ph_predicted,0.9,0.318660017871763,336R_concoct_107,0.000105807045442491,370,9.39921393925062,3.85912059735996,34.1176725266781,9.49056449384389,3.79158930364491,27.9853841147237,-0.596625123286755,-7.68241811522613,0.202127065921328,-0.0698947489517971,-7.68241811522613,0.202127065921328,2.56713315993064e-72,252219
abs_latitude,1,0.318627221988093,336R_concoct_107,0.000105807045442491,585,9.40409207829418,3.84128450367962,34.1774572794672,9.49607008597342,4.13427004822032,27.6141057902552,-0.44162017351727,-8.62798849780409,0.454494399514109,-0.0579588569894962,-8.62798849780409,0.454494399514109,1.74789195393657e-48,307348
clim_tasmax,0.1,0.318627221988093,336R_concoct_107,0.000105807045442491,585,9.40409207829418,3.84128450367962,34.1774572794672,9.49607008597342,4.13427004822032,27.6141057902552,-0.44162017351727,-8.62798849780409,0.454494399514109,-0.0579588569894962,-8.62798849780409,0.454494399514109,1.74789195393657e-48,307348
pc_conductivity_predicted,1,0.318627221988093,336R_concoct_107,0.000105807045442491,585,9.40409207829418,3.84128450367962,34.1774572794672,9.49607008597342,4.13427004822032,27.6141057902552,-0.44162017351727,-8.62798849780409,0.454494399514109,-0.0579588569894962,-8.62798849780409,0.454494399514109,1.74789195393657e-48,307348
pc_ph_predicted,0.9,0.318627221988093,336R_concoct_107,0.000105807045442491,585,9.40409207829418,3.84128450367962,34.1774572794672,9.49607008597342,4.13427004822032,27.6141057902552,-0.44162017351727,-8.62798849780409,0.454494399514109,-0.0579588569894962,-8.62798849780409,0.454494399514109,1.74789195393657e-48,307348
abs_latitude,1,0.265201175156732,336R_concoct_171_sub,2.11614822548437e-05,126,17.1647385509672,11.2396688514,27.3132890831002,20.9990673798918,13.6057257471471,31.3882726467245,2.52480319485061,1.16592638007959,7.02421385186506,0.197590572389922,1.16592638007959,7.02421385186506,4.78800918473482e-173,1009134
bioclim_PC1,1,0.265201175156732,336R_concoct_171_sub,2.11614822548437e-05,126,17.1647385509672,11.2396688514,27.3132890831002,20.9990673798918,13.6057257471471,31.3882726467245,2.52480319485061,1.16592638007959,7.02421385186506,0.197590572389922,1.16592638007959,7.02421385186506,4.78800918473482e-173,1009134
